conversation_id,participant_id,comment_id,comment_text,is_seed,comment_created_at,vote,reaction_created_at
demo-delib-2026-03,p001,c01,City should expand bus-only lanes,true,2026-03-01T09:00:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p001,c02,Municipal healthcare clinics need longer hours,true,2026-03-01T09:05:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p001,c03,Property tax should be reduced for small businesses,true,2026-03-01T09:10:00Z,disagree,2026-03-05T12:00:00Z
demo-delib-2026-03,p001,c04,Waste sorting should be mandatory in all districts,true,2026-03-01T09:15:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p001,c05,Government digital services should be fully online,true,2026-03-01T09:20:00Z,disagree,2026-03-05T12:00:00Z
demo-delib-2026-03,p002,c01,City should expand bus-only lanes,true,2026-03-01T09:00:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p002,c02,Municipal healthcare clinics need longer hours,true,2026-03-01T09:05:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p002,c03,Property tax should be reduced for small businesses,true,2026-03-01T09:10:00Z,disagree,2026-03-05T12:00:00Z
demo-delib-2026-03,p002,c04,Waste sorting should be mandatory in all districts,true,2026-03-01T09:15:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p002,c05,Government digital services should be fully online,true,2026-03-01T09:20:00Z,disagree,2026-03-05T12:00:00Z
demo-delib-2026-03,p003,c01,City should expand bus-only lanes,true,2026-03-01T09:00:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p003,c02,Municipal healthcare clinics need longer hours,true,2026-03-01T09:05:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p003,c03,Property tax should be reduced for small businesses,true,2026-03-01T09:10:00Z,disagree,2026-03-05T12:00:00Z
demo-delib-2026-03,p003,c04,Waste sorting should be mandatory in all districts,true,2026-03-01T09:15:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p003,c05,Government digital services should be fully online,true,2026-03-01T09:20:00Z,disagree,2026-03-05T12:00:00Z
demo-delib-2026-03,p004,c01,City should expand bus-only lanes,true,2026-03-01T09:00:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p004,c02,Municipal healthcare clinics need longer hours,true,2026-03-01T09:05:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p004,c03,Property tax should be reduced for small businesses,true,2026-03-01T09:10:00Z,disagree,2026-03-05T12:00:00Z
demo-delib-2026-03,p004,c04,Waste sorting should be mandatory in all districts,true,2026-03-01T09:15:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p004,c05,Government digital services should be fully online,true,2026-03-01T09:20:00Z,disagree,2026-03-05T12:00:00Z
demo-delib-2026-03,p005,c01,City should expand bus-only lanes,true,2026-03-01T09:00:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p005,c02,Municipal healthcare clinics need longer hours,true,2026-03-01T09:05:00Z,agree,2026-03-05T12:00:00Z
demo-delib-2026-03,p005,c03,Property tax should be reduced for small businesses,true,2026-03-01T09:10:00Z,disagree,2026-03-05T12:00:00Z
